Product Name,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Skips Prawn Cocktail Grab Bag Crisps 35g,crisps,543,3.1,57,6.5,2.2
Walkers Max Crisps Paprika 50g,crisps,530,2.7,51.2,3.7,1.63
McCoy's Thai Sweet Chicken Grab Bag Crisps 45g,crisps,525,2.4,54,3.2,1.3
Walkers Wotsits Really Cheesy Crisp Snacks 36g,crisps,494,2.9,46.2,7.2,1.58
Popchips Sour Cream & Onion Crisps 23g,crisps,413,1.6,61,4.5,1.9
McCoy's Salt and Malt Vinegar Grab Bag Crisps 45g,crisps,529,2.5,54,1.9,2.1
Doritos Tangy Cheese Tortilla Chip Crisps 48g,crisps,501,3.4,57.5,2.7,1.19
Jacob's Mini Cheddars Original Crisps 50g,crisps,516,11.6,50.3,4.6,2.6
Popchips Sea Salt Potato Crisps 23g,crisps,410,1.3,62,2,2.1
Walkers Baked Cheese & Onion Crisps 37.5g,crisps,436,1.3,68.6,7.6,0.94
Walkers Max Cheese & Onion Crisps 50g,crisps,513,2.5,52.6,3.1,1.04
Tyrrells Mixed Root Vegetable Crisps 40g,crisps,540,4,40.6,23.6,1.1
Walkers Baked Ready Salted Crisps 37.5g,crisps,436,1.2,69,5.8,1.18
Tyrrells Sweet Chilli & Red Pepper Crisps 40g,crisps,503,3,53.1,4.5,1.1
Popchips Barbeque Potato Chip Crisps 23g,crisps,420,1.4,62,8.7,2.1
Kettle Chips Sea Salt & Balsamic Vinegar Crisps 40g,crisps,2142,2.4,56.8,1.3,1.6
Stamford Street Food Company Houmous 200g,crisps,224,1.5,12.3,0.5,0.68
